index_[thr: 10],img_path,H4W_pve,OSX_pve,l32_pve,H20_pve
17,/dataset/EHF/data/EHF/18_img.jpg,94.8250677721947,93.92578361984462,45.60602881546656,53.761379574074105
33,/dataset/EHF/data/EHF/34_img.jpg,111.87712622828032,125.11194372365036,88.60489559311924,98.05475894385764
59,/dataset/EHF/data/EHF/60_img.jpg,61.48912857851438,57.01345266925123,31.156469719723617,38.73621607506333
60,/dataset/EHF/data/EHF/61_img.jpg,60.2750940844738,52.55707037798844,33.00198190418587,38.74918908984521
61,/dataset/EHF/data/EHF/62_img.jpg,54.738695877879465,53.95294851067657,33.24828840260785,39.23002221717251
89,/dataset/EHF/data/EHF/90_img.jpg,110.43782183412569,119.43234083431628,59.56560540773334,88.49939599625199
93,/dataset/EHF/data/EHF/94_img.jpg,99.25906962007576,74.6617206711194,51.40566942630909,60.423047148233024
1,/dataset/EHF/data/EHF/02_img.jpg,90.02627918550307,88.23325774514453,41.040831570623546,44.8098883624148
37,/dataset/EHF/data/EHF/38_img.jpg,126.48611272055216,121.96111354338532,93.0831823146467,53.94328959314068
39,/dataset/EHF/data/EHF/40_img.jpg,99.30153236223298,74.87253314194783,40.65897329686219,34.19976800244601
41,/dataset/EHF/data/EHF/42_img.jpg,99.522386774745,96.75344529234523,58.98894298948904,52.45961352832229
