index_[thr: 50],img_path,H4W_pve,OSX_pve,l32_pve,H20_pve
905,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00133_ann_id_132974.png,320.1176101465543,301.4018704313773,144.78165540584948,185.82297998673965
914,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00135_ann_id_132985.png,197.51809992923117,235.573816527982,69.93182639458595,113.02260696389698
917,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00135_ann_id_132991.png,449.5801488406132,672.1151849361338,206.2717408859952,239.5751505703305
918,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00136_ann_id_132992.png,287.91987834737336,212.66123957795327,105.17819809288214,134.59105234812142
947,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00141_ann_id_133047.png,435.6042561436523,278.1230734980253,109.12680876531064,211.1499516797444
948,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00141_ann_id_133048.png,230.67959436843327,235.1358070233491,96.47142139685138,137.97559487088554
963,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00143_ann_id_133069.png,275.74319521317614,299.6901711778515,119.27938069937709,203.0996814736486
985,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00147_ann_id_133106.png,311.9585554904816,294.67229435333326,100.71423244439882,135.21452053906324
1022,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00150_ann_id_133151.png,296.22834419961134,258.4027668211791,124.20720909669568,150.70116371348757
1047,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00154_ann_id_133195.png,539.7959073068369,251.42024501308276,112.8315446719018,161.47799442055438
1069,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00157_ann_id_133226.png,524.5657897714225,551.933154648347,161.0418166621768,244.4409262854019
1072,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00158_ann_id_133229.png,158.81597675537932,165.7703056996015,74.74840813847554,100.37071342193232
1094,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00160_ann_id_133254.png,132.97827073197917,124.79540660266731,40.88371675304568,71.18193606823948
1113,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00164_ann_id_133296.png,246.97790349601772,286.1296831504494,77.33604086899717,104.00111645328964
1151,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00168_ann_id_133358.png,302.8831702885026,179.70408631834712,48.78661573202441,127.69427138517324
1158,/dataset/AGORA/data/3840x2160/validation_crop/ag_validationset_renderpeople_bfh_flowers_5_15_00171_ann_id_133383.png,250.1244333166806,216.6306086027268,101.5827397578412,131.91360909406913
