index_[thr: 130],img_path,H4W_pve,OSX_pve,l32_pve,H20_pve
9,/dataset/ARCTIC/s05/box_grab_01/3/00012.jpg,303.22837829589844,248.645544052124,49.169160425662994,52.35828831791878
13,/dataset/ARCTIC/s05/box_grab_01/3/00017.jpg,301.69954895973206,211.5459740161896,57.68301710486412,59.59018692374229
17,/dataset/ARCTIC/s05/box_grab_01/3/00022.jpg,252.68495082855225,195.26194036006927,40.36162793636322,37.01983392238617
21,/dataset/ARCTIC/s05/box_grab_01/3/00027.jpg,240.6511902809143,204.55439388751984,38.68687152862549,39.39555957913399
57,/dataset/ARCTIC/s05/box_grab_01/3/00072.jpg,237.06431686878204,163.23018074035645,33.07731822133064,32.88926184177399
61,/dataset/ARCTIC/s05/box_grab_01/3/00077.jpg,217.40271151065824,178.26248705387115,33.63768756389618,36.2786240875721
65,/dataset/ARCTIC/s05/box_grab_01/3/00082.jpg,186.75072491168976,178.33814024925232,33.33347663283348,38.17348554730415
81,/dataset/ARCTIC/s05/box_grab_01/3/00102.jpg,197.41278886795044,179.31976914405823,31.967509537935257,34.40946340560913
125,/dataset/ARCTIC/s05/box_grab_01/3/00157.jpg,277.50611305236816,370.1260089874268,68.90739500522614,65.44864922761917
129,/dataset/ARCTIC/s05/box_grab_01/3/00162.jpg,271.0580825805664,373.4041154384613,65.16768038272858,65.39668142795563
133,/dataset/ARCTIC/s05/box_grab_01/3/00167.jpg,289.9158000946045,212.86000311374664,54.17474731802941,54.79588732123375
173,/dataset/ARCTIC/s05/box_grab_01/3/00217.jpg,202.4112492799759,174.6424287557602,39.526909589767456,35.76791658997536
177,/dataset/ARCTIC/s05/box_grab_01/3/00222.jpg,207.1225643157959,173.70161414146423,37.33086213469505,36.51998192071915
213,/dataset/ARCTIC/s05/box_grab_01/3/00267.jpg,330.8045566082001,336.1823558807373,104.67557609081268,106.51452094316484
217,/dataset/ARCTIC/s05/box_grab_01/3/00272.jpg,327.0800709724426,326.40308141708374,103.3378392457962,103.395514190197
219,/dataset/ARCTIC/s05/box_grab_01/7/00274.jpg,263.209730386734,233.711376786232,82.50465989112854,78.51649820804596
221,/dataset/ARCTIC/s05/box_grab_01/3/00277.jpg,250.84397196769717,295.7654893398285,94.5773422718048,94.78603303432465
223,/dataset/ARCTIC/s05/box_grab_01/7/00279.jpg,325.6192207336426,223.41923415660855,72.0992237329483,68.96958500146866
277,/dataset/ARCTIC/s05/box_grab_01/3/00347.jpg,227.6993691921234,208.8651806116104,49.83337223529816,50.597548484802246
413,/dataset/ARCTIC/s05/box_grab_01/3/00517.jpg,256.0366094112396,190.8167004585266,53.972650319337845,54.5625165104866
425,/dataset/ARCTIC/s05/box_grab_01/3/00532.jpg,290.4376685619354,182.38160014152527,40.03129526972771,40.338873863220215
429,/dataset/ARCTIC/s05/box_grab_01/3/00537.jpg,270.77436447143555,224.44307804107663,36.48797050118446,39.65139016509056
433,/dataset/ARCTIC/s05/box_grab_01/3/00542.jpg,279.90370988845825,173.387348651886,33.63179415464401,36.80330142378807
437,/dataset/ARCTIC/s05/box_grab_01/3/00547.jpg,283.2009792327881,165.39327800273895,34.87477824091911,32.33329951763153
